"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2022","Central Connecticut",66.1917,276,65.0954,311,92.295,340,91.8004,349,107.531,294,111.616,325,-19.8159,347
"2022","Central Michigan",68.8838,130,68.1285,143,95.276,304,96.7399,302,111.162,338,110.826,313,-14.0863,320
"2022","Charleston",74.6661,2,74.407,1,104.212,133,104.718,147,102.238,197,103.784,181,0.934789,159
"2022","Charleston Southern",69.7899,88,69.4941,77,91.5229,345,92.7632,341,110.017,327,113.068,340,-20.3047,350
"2022","Charlotte",66.5717,268,65.8904,271,105.235,115,106.115,124,107.069,281,107.806,265,-1.69044,192
"2022","Chattanooga",65.9474,288,65.4996,291,110.844,27,110.145,63,99.9643,133,99.8852,110,10.2596,81
"2022","Chicago St.",67.0869,242,66.2864,256,93.3254,333,96.5971,303,110.58,334,113.549,344,-16.9523,334
"2022","Cincinnati",68.8908,128,68.2965,125,100.95,199,104.602,149,96.1673,52,97.6788,68,6.92309,104
"2022","Clemson",66.6917,261,66.7019,233,107.029,67,110.714,52,102.122,195,100.391,118,10.3237,80
"2022","Cleveland St.",68.3075,167,68.1131,144,107.913,54,104.565,150,100.84,153,106.25,238,-1.68535,191
"2022","Coastal Carolina",66.5855,267,66.609,236,102.459,171,103.633,174,99.2356,112,102.603,159,1.02998,156
"2022","Colgate",67.6944,199,67.7952,170,110.787,28,108.462,85,100.016,136,105.052,210,3.40988,126
"2022","Colorado",68.0932,178,67.5533,185,103.007,159,107.155,105,96.8597,62,96.4634,49,10.6915,75
"2022","Colorado St.",66.2539,274,66.2203,259,111.301,24,114.905,18,99.4827,116,99.076,90,15.8294,32
"2022","Columbia",70.7133,57,69.9826,62,93.8094,325,93.4937,337,111.973,345,114.733,348,-21.2397,351
"2022","Connecticut",67.593,207,65.8248,275,109.903,34,114.157,24,95.2358,36,95.327,34,18.8304,20
"2022","Coppin St.",74.3642,5,73.125,5,90.439,350,92.6531,342,101.704,177,104.699,200,-12.0459,303
"2022","Cornell",73.2077,11,72.4654,12,103.954,138,103.635,173,103.68,231,105.696,225,-2.0616,194
"2022","Creighton",68.2459,170,67.3865,196,100.023,220,105.389,139,96.9904,69,94.0921,25,11.297,69
"2022","Dartmouth",66.3531,271,65.0931,312,98.5533,253,98.9426,260,101.009,155,101.751,141,-2.80824,207
"2022","Davidson",65.5588,308,65.0276,317,113.666,13,117.275,12,100.647,149,103.385,171,13.8908,46
"2022","Dayton",64.4395,340,63.6334,342,107.348,61,109.501,70,93.9823,29,95.5855,43,13.9157,45
"2022","Delaware",68.0765,180,67.3321,199,107.858,55,107.973,91,104.467,247,107.376,255,0.596885,165
"2022","Delaware St.",70.2773,77,68.5573,115,85.6554,356,86.3661,356,107.81,304,111.476,324,-25.1104,356
"2022","Denver",67.9128,188,66.8693,220,102.81,164,100.535,233,108.876,315,111.158,320,-10.6236,289
